charge (pC),ch.2
-1.9375,0
-1.8125,0
-1.6875,0
-1.5625,0
-1.4375,0
-1.3125,0
-1.1875,0
-1.0625,0
-0.9375,0
-0.8125,0
-0.6875,0
-0.5625,0
-0.4375,0
-0.3125,0
-0.1875,0
-0.0625,0
0.0625,0
0.1875,0
0.3125,2
0.4375,4
0.5625,4
0.6875,9
0.8125,19
0.9375,31
1.0625,29
1.1875,49
1.3125,56
1.4375,66
1.5625,52
1.6875,58
1.8125,61
1.9375,50
2.0625,44
2.1875,55
2.3125,37
2.4375,38
2.5625,33
2.6875,27
2.8125,33
2.9375,30
3.0625,25
3.1875,27
3.3125,24
3.4375,17
3.5625,12
3.6875,7
3.8125,12
3.9375,9
4.0625,6
4.1875,6
4.3125,3
4.4375,4
4.5625,0
4.6875,1
4.8125,4
4.9375,2
5.0625,1
5.1875,0
5.3125,1
5.4375,1
5.5625,1
5.6875,2
5.8125,2
5.9375,0
6.0625,0
6.1875,0
6.3125,3
6.4375,1
6.5625,0
6.6875,0
6.8125,1
6.9375,0
7.0625,0
7.1875,1
7.3125,0
7.4375,0
7.5625,0
7.6875,0
7.8125,1
7.9375,0
8.0625,1
8.1875,1
8.3125,0
8.4375,0
8.5625,0
8.6875,0
8.8125,1
8.9375,0
9.0625,1
9.1875,1
9.3125,0
9.4375,0
9.5625,0
9.6875,0
9.8125,0
9.9375,1
10.0625,1
10.1875,0
10.3125,0
10.4375,0
10.5625,0
10.6875,2
10.8125,1
10.9375,0
11.0625,1
11.1875,0
11.3125,0
11.4375,0
11.5625,1
11.6875,0
11.8125,0
11.9375,0
12.0625,1
12.1875,0
12.3125,1
12.4375,0
12.5625,0
12.6875,0
12.8125,0
12.9375,0
13.0625,1
13.1875,0
13.3125,0
13.4375,0
13.5625,0
13.6875,1
13.8125,0
13.9375,0
14.0625,0
14.1875,0
14.3125,0
14.4375,0
14.5625,1
14.6875,0
14.8125,0
14.9375,0
15.0625,0
15.1875,0
15.3125,0
15.4375,0
15.5625,0
15.6875,0
15.8125,0
15.9375,0
16.0625,0
16.1875,0
16.3125,0
16.4375,0
16.5625,0
16.6875,1
16.8125,0
16.9375,0
17.0625,0
17.1875,1
17.3125,0
17.4375,0
17.5625,0
17.6875,0
17.8125,0
17.9375,1
18.0625,0
18.1875,0
18.3125,0
18.4375,0
18.5625,0
18.6875,0
18.8125,0
18.9375,0
19.0625,0
19.1875,0
19.3125,0
19.4375,0
19.5625,0
19.6875,0
19.8125,0
19.9375,0
20.0625,0
20.1875,1
20.3125,1
20.4375,0
20.5625,0
20.6875,0
20.8125,0
20.9375,0
21.0625,0
21.1875,0
21.3125,0
21.4375,0
21.5625,0
21.6875,0
21.8125,0
21.9375,0
22.0625,0
22.1875,0
22.3125,0
22.4375,0
22.5625,1
22.6875,0
22.8125,0
22.9375,1
23.0625,0
23.1875,0
23.3125,0
23.4375,0
23.5625,0
23.6875,1
23.8125,0
23.9375,0
24.0625,0
24.1875,0
24.3125,0
24.4375,0
24.5625,1
24.6875,1
24.8125,0
24.9375,0
25.0625,0
25.1875,0
25.3125,0
25.4375,0
25.5625,1
25.6875,0
25.8125,0
25.9375,0
26.0625,1
26.1875,0
26.3125,1
26.4375,0
26.5625,1
26.6875,0
26.8125,0
26.9375,1
27.0625,0
27.1875,0
27.3125,0
27.4375,0
27.5625,0
27.6875,0
27.8125,1
27.9375,2
28.0625,1
28.1875,0
28.3125,1
28.4375,1
28.5625,1
28.6875,0
28.8125,0
28.9375,0
29.0625,0
29.1875,0
29.3125,1
29.4375,0
29.5625,0
29.6875,0
29.8125,1
29.9375,1
